"Informazioni cronologiche","Sei..","Sei interessato a.. (possibile scelta multipla)","Quanti anni hai?","Qual è il colore dei tuoi occhi?","Qual è il colore dei tuoi capelli?","Quanto sei alto?","Studi?","Se si, frequenti..","Quali sono i tuoi interessi? (possibile scelta multipla)","Cosa è importante per te in una persona? (possibile scelta multipla)","Quanto reputi utile un sito dating?","Per cosa useresti il nostro sito di dating?"
"2020/12/14 11:08:36 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Anime;Manga/Fumetti;Serie Tv;Videogiochi;Tecnologia;Informatica","Carattere","4","Rapporti occasionali"
"2020/12/14 11:14:28 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Serie Tv;Videogiochi;Viaggi;Informatica;Cucina;Natura;Motori;Moda","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/14 11:21:53 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica;Cucina;Fotografia","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/14 11:41:08 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Calcio;Anime;Videogiochi;Informatica","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/14 11:41:39 AM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Tecnologia;Viaggi;Informatica;Cucina;Fotografia;Disegno;Moda","Carattere","1","Altro"
"2020/12/14 11:55:38 AM CET","Maschio","Uomini","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Politica;Videogiochi;Tecnologia;Viaggi;Informatica","Carattere;Hobby/Passioni","8","Relazioni"
"2020/12/14 12:21:51 PM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Serie Tv;Tecnologia;Informatica;Motori","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/14 5:24:10 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Scuola secondario di secondo grado (Liceo e Istituti vari) o gradi inferiori.","Anime;Manga/Fumetti;Arte;Videogiochi;Viaggi;Storia;Libri;Cucina;Natura;Fotografia","Carattere","4","Amicizie"
"2020/12/14 5:42:18 PM CET","Femmina","Uomini","18 - 25","Castani","Altro","1,61m - 1,80m","Si","Nessuna delle precedenti","Musica;Cinema;Serie Tv;Viaggi;Cucina;Moda","Carattere","6","Amicizie"
"2020/12/14 6:32:22 PM CET","Femmina","Uomini","18 - 25","Castani","Altro","1,61m - 1,80m","Si","Nessuna delle precedenti","Musica;Cinema;Serie Tv;Viaggi;Cucina;Moda","Carattere","6","Amicizie"
"2020/12/15 4:21:10 PM CET","Femmina","Uomini","26 - 35","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Arte;Viaggi;Libri;Cucina;Natura;Fotografia","Carattere","6","Amicizie"
"2020/12/15 6:13:49 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Manga/Fumetti;Serie Tv;Tv;Storia;Libri","Carattere;Hobby/Passioni","4","Amicizie"
"2020/12/15 6:14:02 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Manga/Fumetti;Serie Tv;Tv;Storia;Libri","Carattere;Hobby/Passioni","4","Amicizie"
"2020/12/17 1:44:58 PM CET","Femmina","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Viaggi;Informatica","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/18 4:36:49 PM CET","Maschio","Donne","26 - 35","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Serie Tv;Politica;Viaggi;Libri","Carattere;Aspetto fisico;Hobby/Passioni","5","Rapporti occasionali"
"2020/12/23 2:38:23 PM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Tecnologia;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","5","Altro"
"2020/12/23 7:43:38 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Arte;Teatro;Tecnologia;Viaggi;Informatica;Natura;Fotografia;Moda","Carattere","6","Rapporti occasionali"
"2020/12/24 11:22:54 AM CET","Maschio","Donne","18 - 25","Castani","Altro","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Arte;Videogiochi;Tecnologia;Viaggi;Informatica;Disegno","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/24 11:23:31 AM CET","Maschio","Donne","18 - 25","Azzurri","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Tv;Arte;Videogiochi;Tecnologia;Informatica;Libri;Natura;Altro","Carattere;Aspetto fisico;Hobby/Passioni","5","Amicizie"
"2020/12/24 11:23:40 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Arte;Videogiochi;Viaggi;Libri;Natura;Fotografia;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","5","Amicizie"
"2020/12/24 11:24:04 AM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Serie Tv;Viaggi;Cucina;Motori;Altro","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/24 11:24:46 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Viaggi;Storia;Cucina;Natura;Fotografia;Motori;Moda","Carattere","5","Rapporti occasionali"
"2020/12/24 11:25:05 AM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Anime;Serie Tv;Tv;Arte;Teatro;Politica;Videogiochi;Tecnologia;Storia;Informatica;Cucina;Natura;Motori;Moda","Aspetto fisico","10","Rapporti occasionali"
"2020/12/24 11:25:16 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Arte;Videogiochi;Storia;Libri;Natura","Carattere;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:25:41 AM CET","Femmina","Uomini;Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Manga/Fumetti;Serie Tv;Videogiochi;Natura;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","4","Amicizie"
"2020/12/24 11:26:06 AM CET","Maschio","Donne","18 - 25","Neri","Altro","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Serie Tv;Arte;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri;Natura","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/24 11:26:08 AM CET","Femmina","Uomini","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Arte;Tecnologia;Informatica;Libri;Cucina;Fotografia;Disegno;Moda","Carattere;Hobby/Passioni","5","Amicizie"
"2020/12/24 11:26:13 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Anime;Serie Tv;Videogiochi;Informatica;Moda","Carattere;Hobby/Passioni","5","Rapporti occasionali"
"2020/12/24 11:26:15 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Arte;Viaggi;Storia;Libri;Cucina;Natura;Fotografia","Carattere","1","Amicizie"
"2020/12/24 11:26:19 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Anime;Serie Tv;Viaggi;Disegno","Carattere;Aspetto fisico","7","Altro"
"2020/12/24 11:28:21 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Viaggi;Storia;Cucina;Natura;Fotografia;Disegno;Moda","Carattere;Aspetto fisico;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:29:02 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà umanistica","Cinema;Anime;Manga/Fumetti;Serie Tv;Teatro;Videogiochi","Carattere;Aspetto fisico;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:29:19 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Sport;Serie Tv;Arte;Tecnologia;Libri","Carattere","8","Amicizie"
"2020/12/24 11:29:53 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Serie Tv;Arte;Viaggi;Storia;Cucina;Natura;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","5","Amicizie"
"2020/12/24 11:29:58 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Tv;Tecnologia;Viaggi;Informatica;Cucina;Natura;Fotografia","Carattere;Hobby/Passioni","9","Relazioni"
"2020/12/24 11:30:33 AM CET","Maschio","Donne","18 - 25","Neri","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Tv;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Fotografia;Motori;Moda","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/24 11:30:43 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Sport;Calcio;Serie Tv;Storia;Cucina;Disegno","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/24 11:30:49 AM CET","Maschio","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Calcio;Teatro;Videogiochi;Tecnologia;Informatica","Carattere;Aspetto fisico","6","Rapporti occasionali"
"2020/12/24 11:31:24 AM CET","Femmina","Uomini","18 - 25","Castani","Rossi","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Politica;Storia;Libri;Altro","Carattere;Aspetto fisico;Hobby/Passioni","6","Relazioni"
"2020/12/24 11:31:36 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Videogiochi;Viaggi;Storia;Libri","Carattere;Aspetto fisico","5","Rapporti occasionali"
"2020/12/24 11:31:56 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Serie Tv;Tv;Videogiochi;Cucina;Fotografia","Carattere","5","Amicizie"
"2020/12/24 11:32:00 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Sport;Serie Tv;Viaggi;Cucina;Moda","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/24 11:32:39 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Calcio;Serie Tv;Videogiochi;Viaggi","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/24 11:32:50 AM CET","Femmina","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Arte;Politica;Libri;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","3","Rapporti occasionali"
"2020/12/24 11:35:19 AM CET","Maschio","Donne","18 - 25","Azzurri","Biondi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Natura;Fotografia;Disegno;Motori;Altro","Carattere;Aspetto fisico;Hobby/Passioni;Altro","7","Relazioni"
"2020/12/24 11:35:27 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà umanistica","Sport;Calcio;Tv;Videogiochi;Tecnologia;Viaggi","Carattere;Aspetto fisico","5","Amicizie"
"2020/12/24 11:36:07 AM CET","Femmina","Uomini","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Libri;Cucina","Carattere;Hobby/Passioni","2","Amicizie"
"2020/12/24 11:37:48 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Videogiochi;Tecnologia;Informatica;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","8","Relazioni"
"2020/12/24 11:38:32 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Tv;Tecnologia;Viaggi;Storia;Libri;Cucina;Natura;Fotografia","Carattere;Aspetto fisico","7","Relazioni"
"2020/12/24 11:38:36 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Serie Tv;Tecnologia;Libri","Carattere;Hobby/Passioni","2","Relazioni"
"2020/12/24 11:38:43 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Serie Tv;Teatro","Carattere","5","Rapporti occasionali"
"2020/12/24 11:39:05 AM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Accademie varie (Artistica etc..)","Musica;Cinema;Serie Tv;Arte;Teatro;Viaggi;Fotografia","Carattere;Hobby/Passioni","3","Relazioni"
"2020/12/24 11:39:31 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Sport;Serie Tv;Arte;Viaggi;Libri;Cucina","Carattere;Hobby/Passioni","6","Amicizie"
"2020/12/24 11:39:42 AM CET","Femmina","Uomini","18 - 25","Castani","Rossi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Arte;Fotografia;Moda","Carattere;Aspetto fisico;Hobby/Passioni","5","Altro"
"2020/12/24 11:40:58 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Tecnologia;Informatica;Motori","Carattere;Aspetto fisico","7","Amicizie"
"2020/12/24 11:41:01 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Anime;Serie Tv;Tv;Arte;Tecnologia;Viaggi;Libri;Cucina;Natura;Fotografia;Motori;Moda","Carattere;Aspetto fisico;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:41:35 AM CET","Femmina","Uomini;Donne","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Informatica;Libri;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","8","Amicizie"
"2020/12/24 11:42:12 AM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Anime;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Motori","Carattere;Hobby/Passioni","5","Relazioni"
"2020/12/24 11:42:12 AM CET","Maschio","Donne","18 - 25","Castani","Neri","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Anime;Serie Tv;Videogiochi;Viaggi;Libri;Cucina;Natura","Carattere;Aspetto fisico","7","Altro"
"2020/12/24 11:42:43 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Serie Tv;Tecnologia;Moda","Carattere;Aspetto fisico","3","Amicizie"
"2020/12/24 11:42:43 AM CET","Maschio","Uomini","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Tv;Cucina;Fotografia","Carattere;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:43:35 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Arte;Videogiochi;Viaggi;Informatica;Libri","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/24 11:43:49 AM CET","Maschio","Donne","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Calcio;Serie Tv;Politica;Videogiochi;Tecnologia;Informatica;Libri","Carattere;Aspetto fisico","7","Relazioni"
"2020/12/24 11:43:57 AM CET","Femmina","Donne","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Tv;Arte;Teatro;Videogiochi;Viaggi;Libri;Cucina;Natura;Fotografia;Disegno","Carattere;Aspetto fisico;Hobby/Passioni","6","Amicizie"
"2020/12/24 11:44:06 AM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Serie Tv;Tv;Viaggi","Carattere;Aspetto fisico","7","Rapporti occasionali"
"2020/12/24 11:44:38 AM CET","Maschio","Uomini;Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Tv;Videogiochi;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","6","Relazioni"
"2020/12/24 11:44:38 AM CET","Femmina","Uomini;Donne","18 - 25","Azzurri","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Serie Tv;Arte;Teatro;Viaggi;Libri;Fotografia;Altro","Carattere","8","Relazioni"
"2020/12/24 11:45:00 AM CET","Maschio","Donne","18 - 25","Altro","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Calcio;Serie Tv;Arte;Teatro;Politica;Videogiochi;Cucina;Fotografia","Carattere;Aspetto fisico","6","Rapporti occasionali"
"2020/12/24 11:45:17 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Arte;Libri;Natura","Carattere","4","Altro"
"2020/12/24 11:46:40 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Sport;Calcio;Serie Tv;Videogiochi;Tecnologia;Informatica","Carattere;Aspetto fisico;Hobby/Passioni","8","Relazioni"
"2020/12/24 11:46:49 AM CET","Maschio","Donne","18 - 25","Castani","Biondi","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Anime;Manga/Fumetti;Serie Tv;Videogiochi;Libri","Carattere","4","Relazioni"
"2020/12/24 11:47:37 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Tv;Altro","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/24 11:48:10 AM CET","Femmina","Uomini;Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Arte;Viaggi;Libri;Fotografia;Disegno;Moda","Carattere;Hobby/Passioni","5","Amicizie"
"2020/12/24 11:49:05 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Natura;Fotografia","Carattere;Aspetto fisico;Hobby/Passioni","4","Relazioni"
"2020/12/24 11:50:28 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Teatro;Videogiochi;Tecnologia;Viaggi;Storia;Libri;Cucina;Natura;Altro","Carattere;Hobby/Passioni","7","Amicizie"
"2020/12/24 11:50:31 AM CET","Femmina","Uomini","18 - 25","Azzurri","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Cinema;Sport;Anime;Manga/Fumetti;Serie Tv;Tv;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Cucina;Natura","Carattere;Aspetto fisico;Hobby/Passioni","6","Relazioni"
"2020/12/24 11:51:15 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Serie Tv;Arte;Viaggi;Storia;Libri;Fotografia","Carattere","5","Amicizie"
"2020/12/24 11:51:37 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Sport;Tecnologia;Viaggi;Storia;Informatica;Libri;Cucina;Natura;Fotografia;Motori;Altro","Carattere;Aspetto fisico;Hobby/Passioni","5","Relazioni"
"2020/12/24 11:52:15 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà umanistica","Musica;Anime;Manga/Fumetti;Serie Tv;Arte;Tecnologia;Viaggi;Informatica;Libri;Fotografia;Disegno;Moda","Carattere;Hobby/Passioni","4","Relazioni"
"2020/12/24 11:53:22 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Calcio;Politica;Videogiochi;Tecnologia;Viaggi;Cucina;Motori","Carattere;Hobby/Passioni","5","Relazioni"
"2020/12/24 11:54:13 AM CET","Femmina","Uomini","18 - 25","Verdi","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv;Arte;Teatro;Libri;Cucina;Natura;Fotografia;Disegno","Carattere;Altro","5","Relazioni"
"2020/12/24 11:55:35 AM CET","Maschio","Donne","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Sport;Calcio;Serie Tv;Arte;Politica;Videogiochi;Tecnologia;Viaggi;Storia;Informatica;Libri","Carattere;Hobby/Passioni","7","Relazioni"
"2020/12/24 11:56:16 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Calcio;Serie Tv;Tv;Arte;Teatro;Viaggi;Libri;Cucina;Fotografia;Moda","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/24 11:56:17 AM CET","Maschio","Donne","18 - 25","Altro","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Serie Tv;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Natura;Altro","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/24 11:56:54 AM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv;Viaggi;Libri;Cucina;Fotografia","Carattere","7","Altro"
"2020/12/24 11:59:13 AM CET","Femmina","Uomini","18 - 25","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Tv;Viaggi;Natura;Moda","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/24 11:59:44 AM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Tv;Arte;Teatro;Viaggi;Storia;Libri;Natura;Fotografia;Disegno;Motori","Carattere","3","Amicizie"
"2020/12/24 12:00:07 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Serie Tv;Fotografia;Moda","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/24 12:01:52 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,41m - 1,60m","Si","Università - Facoltà scientifica","Musica;Tecnologia;Viaggi;Natura;Fotografia;Altro","Carattere;Aspetto fisico","5","Relazioni"
"2020/12/24 12:02:45 PM CET","Femmina","Donne","18 - 25","Castani","Rossi","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Arte;Viaggi;Libri;Natura","Carattere;Aspetto fisico;Hobby/Passioni","4","Relazioni"
"2020/12/24 12:02:50 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Serie Tv;Viaggi;Storia;Cucina","Carattere","8","Relazioni"
"2020/12/24 12:04:29 PM CET","Maschio","Donne","18 - 25","Altro","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Calcio;Serie Tv;Videogiochi;Tecnologia;Informatica;Motori","Carattere","7","Relazioni"
"2020/12/24 12:06:05 PM CET","Maschio","Donne","18 - 25","Verdi","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Sport;Serie Tv;Arte;Politica;Viaggi;Cucina;Natura","Carattere","7","Rapporti occasionali"
"2020/12/24 12:06:52 PM CET","Maschio","Uomini","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà umanistica","Musica;Cinema;Serie Tv;Tv;Arte;Teatro;Viaggi;Storia;Libri;Cucina;Natura;Fotografia;Disegno","Carattere;Hobby/Passioni","7","Relazioni"
"2020/12/24 12:06:59 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Musica;Cinema;Arte;Viaggi;Libri;Natura;Fotografia;Disegno;Motori;Moda","Carattere;Aspetto fisico","6","Amicizie"
"2020/12/24 12:07:43 PM CET","Femmina","Uomini","18 - 25","Verdi","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Cinema;Arte;Teatro;Libri;Fotografia","Carattere;Aspetto fisico","7","Relazioni"
"2020/12/24 12:08:06 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà scientifica","Sport;Serie Tv;Viaggi;Cucina;Natura;Fotografia","Carattere;Aspetto fisico","6","Relazioni"
"2020/12/24 12:08:23 PM CET","Femmina","Uomini","18 - 25","Castani","Castani","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Arte;Teatro;Politica;Viaggi;Storia;Libri;Fotografia","Carattere;Aspetto fisico","4","Amicizie"
"2020/12/24 12:09:19 PM CET","Maschio","Uomini","26 - 35","Castani","Neri","1,61m - 1,80m","Si","Università - Facoltà umanistica","Musica;Cinema;Sport;Calcio;Anime;Manga/Fumetti;Serie Tv;Tv;Arte;Teatro;Politica;Viaggi;Storia;Libri;Cucina;Disegno;Moda","Carattere;Aspetto fisico","8","Amicizie"
"2020/12/24 12:10:39 PM CET","Maschio","Donne","18 - 25","Castani","Castani","1,81m - 2m","Si","Università - Facoltà scientifica","Musica;Cinema;Serie Tv;Politica;Videogiochi;Tecnologia;Viaggi;Informatica;Libri;Fotografia","Carattere","8","Relazioni"
